case_id,affected_entity_id,entity_type,affected_field,value_pair_present,value_exact_match,value_normalized_id_match,value_str_similarity,value_token_overlap,value_numeric_diff,value_numeric_abs_diff,value_numeric_rel_diff,value_is_numeric_pair,value_date_diff_days,value_is_date_pair,entity_amount,fee_amount_context,tax_amount_context,refund_amount_context,adjustment_amount_context,diff_to_adjustment_ratio,primary_label,fine_label
EXC_000001,ORD_000002,ORD,order_id,1,0,1,0.9,1.0,,,,0,,0,6018.89,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000002,ORD_000008,ORD,order_id,1,0,1,0.7,1.0,,,,0,,0,22803.38,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000003,ORD_000010,ORD,order_id,1,0,1,0.631578947368421,0.0,,,,0,,0,3704.62,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000005,ORD_000020,ORD,order_id,1,0,1,0.6,1.0,,,,0,,0,24830.74,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000006,ORD_000027,ORD,order_id,1,0,1,0.9,1.0,,,,0,,0,77087.04,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000007,ORD_000028,ORD,order_id,1,0,1,0.9,1.0,,,,0,,0,122140.62,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000008,ORD_000042,ORD,order_id,1,0,1,0.631578947368421,0.0,,,,0,,0,13643.63,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000009,ORD_000045,ORD,order_id,1,0,1,0.6,1.0,,,,0,,0,1987.12,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000010,ORD_000047,ORD,order_id,1,0,1,0.9473684210526315,0.0,,,,0,,0,2147.36,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000011,ORD_000068,ORD,order_id,1,0,1,0.7,1.0,,,,0,,0,43402.76,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000012,ORD_000089,ORD,order_id,1,0,0,0.7777777777777778,0.3333333333333333,,,,0,,0,36760.54,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000014,ORD_000091,ORD,order_id,1,0,1,0.9,1.0,,,,0,,0,13034.28,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000016,ORD_000101,ORD,order_id,1,0,1,0.9,1.0,,,,0,,0,215452.66,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000017,ORD_000107,ORD,order_id,1,0,0,0.7777777777777778,0.3333333333333333,,,,0,,0,20393.94,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000018,ORD_000125,ORD,order_id,1,0,1,0.9473684210526315,0.0,,,,0,,0,40963.58,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000019,ORD_000127,ORD,order_id,1,0,1,0.9,1.0,,,,0,,0,12828.37,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000020,ORD_000132,ORD,order_id,1,0,0,0.7777777777777778,0.3333333333333333,,,,0,,0,49272.43,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000021,ORD_000135,ORD,order_id,1,0,1,0.9,1.0,,,,0,,0,2849.7,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000023,ORD_000140,ORD,order_id,1,0,1,0.7,1.0,,,,0,,0,137597.44,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000024,ORD_000155,ORD,order_id,1,0,1,0.9,1.0,,,,0,,0,15033.2,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000025,ORD_000161,ORD,order_id,1,0,1,0.9,1.0,,,,0,,0,4037.84,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000026,ORD_000166,ORD,order_id,1,0,1,0.9,1.0,,,,0,,0,2416.64,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000028,ORD_000177,ORD,order_id,1,0,1,0.9,1.0,,,,0,,0,3869.57,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000029,ORD_000184,ORD,order_id,1,0,1,0.631578947368421,0.0,,,,0,,0,52384.21,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000030,ORD_000198,ORD,order_id,1,0,1,0.7,1.0,,,,0,,0,32204.56,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000031,ORD_000208,ORD,order_id,1,0,1,0.9473684210526315,0.0,,,,0,,0,47086.72,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000032,ORD_000225,ORD,order_id,1,0,1,0.7,1.0,,,,0,,0,17248.53,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
EXC_000033,ORD_000231,ORD,order_id,1,0,1,0.9473684210526315,0.0,,,,0,,0,11969.8,,,,,,FORMAT_MISMATCH,FORMAT_MISMATCH
